Mês de Data Referencia;Evento;Uf;Total
fevereiro de 2021;Roubo de veículo;MG;501
fevereiro de 2021;Roubo de veículo;MS;43
fevereiro de 2021;Roubo de veículo;MT;122
fevereiro de 2021;Roubo de veículo;PA;175
fevereiro de 2021;Roubo de veículo;PB;248
fevereiro de 2021;Roubo de veículo;PE;648
fevereiro de 2021;Roubo de veículo;PI;396
fevereiro de 2021;Roubo de veículo;PR;352
fevereiro de 2021;Roubo de veículo;RJ;2171
fevereiro de 2021;Roubo de veículo;RN;398
fevereiro de 2021;Roubo de veículo;RO;140
fevereiro de 2021;Roubo de veículo;RR;72
fevereiro de 2021;Roubo de veículo;RS;474
fevereiro de 2021;Roubo de veículo;SC;107
fevereiro de 2021;Roubo de veículo;SE;110
fevereiro de 2021;Roubo de veículo;SP;2480
fevereiro de 2021;Roubo de veículo;TO;50
março de 2021;Roubo de veículo;AC;98
março de 2021;Roubo de veículo;AL;140
março de 2021;Roubo de veículo;AM;209
março de 2021;Roubo de veículo;AP;34
março de 2021;Roubo de veículo;BA;979
março de 2021;Roubo de veículo;CE;730
março de 2021;Roubo de veículo;DF;185
março de 2021;Roubo de veículo;ES;368
março de 2021;Roubo de veículo;GO;196
março de 2021;Roubo de veículo;MA;463
março de 2021;Roubo de veículo;MG;476
março de 2021;Roubo de veículo;MS;44
março de 2021;Roubo de veículo;MT;137
março de 2021;Roubo de veículo;PA;184
março de 2021;Roubo de veículo;PB;343
março de 2021;Roubo de veículo;PE;736
março de 2021;Roubo de veículo;PI;382
março de 2021;Roubo de veículo;PR;370
março de 2021;Roubo de veículo;RJ;2365
março de 2021;Roubo de veículo;RN;372
março de 2021;Roubo de veículo;RO;171
março de 2021;Roubo de veículo;RR;57
março de 2021;Roubo de veículo;RS;487
março de 2021;Roubo de veículo;SC;113
março de 2021;Roubo de veículo;SE;179
março de 2021;Roubo de veículo;SP;2560
março de 2021;Roubo de veículo;TO;34
abril de 2021;Roubo de veículo;AC;86
abril de 2021;Roubo de veículo;AL;182
abril de 2021;Roubo de veículo;AM;163
abril de 2021;Roubo de veículo;AP;32
abril de 2021;Roubo de veículo;BA;980
abril de 2021;Roubo de veículo;CE;696
abril de 2021;Roubo de veículo;DF;178
abril de 2021;Roubo de veículo;ES;350
abril de 2021;Roubo de veículo;GO;193
abril de 2021;Roubo de veículo;MA;480
abril de 2021;Roubo de veículo;MG;503
abril de 2021;Roubo de veículo;MS;43
abril de 2021;Roubo de veículo;MT;140
abril de 2021;Roubo de veículo;PA;200
abril de 2021;Roubo de veículo;PB;324
abril de 2021;Roubo de veículo;PE;790
abril de 2021;Roubo de veículo;PI;344
abril de 2021;Roubo de veículo;PR;332
abril de 2021;Roubo de veículo;RJ;2105
abril de 2021;Roubo de veículo;RN;336
abril de 2021;Roubo de veículo;RO;197
abril de 2021;Roubo de veículo;RR;70
abril de 2021;Roubo de veículo;RS;426
abril de 2021;Roubo de veículo;SC;110
abril de 2021;Roubo de veículo;SE;162
abril de 2021;Roubo de veículo;SP;2335
abril de 2021;Roubo de veículo;TO;27
maio de 2021;Roubo de veículo;AC;86
maio de 2021;Roubo de veículo;AL;115
maio de 2021;Roubo de veículo;AM;148
maio de 2021;Roubo de veículo;AP;34
maio de 2021;Roubo de veículo;BA;1049
maio de 2021;Roubo de veículo;CE;725
maio de 2021;Roubo de veículo;DF;169
maio de 2021;Roubo de veículo;ES;363
maio de 2021;Roubo de veículo;GO;167
maio de 2021;Roubo de veículo;MA;534
maio de 2021;Roubo de veículo;MG;492
maio de 2021;Roubo de veículo;MS;53
